mandarin,wu
我好好点，你呢？好吗？为什么不忙吗,我老好个，侬呢？好伐？迭抢忙伐？
都好吗？你到底在红柿,侪好伐？侬到底辣嗨忙啥？
都许好，你高兴结婚。,侪蛮好，侬放一百只心。
家里都身体好吗,屋里向人侪身体好伐?
你身体怎么样？好了么不了吗,侬身体哪能？毛病好了伐？
你说呢 老实话，一个事情了你们不知道,侬呢，讲老实闲话，我一直老牵记侬个，勿晓得侬过了好伐？
我涕一好好工作，上班都忍心里走了。,我日脚老好过个，上班勿吃力，家务末请了保姆，葛唠我迭歇身体状况好交关了。
恋 我们俩呢 他们不能都不休息了吗,㑚阿爸呒妈呢，伊拉好伐？应该侪退休了伐？
小时好吗？应该高兴了吗？,小人好伐？应该读高中了对伐？
马上写作不是很好。,马马虎虎，勿是老好。只好讲还过得过去。
第一工作怎么是？你干什么一个人呀,迭腔工作哪能？侬是做啥个生活个？
你在新吗做个近干活？,侬辣嗨阿里只公司做生活？离搿搭远伐？
你上个话说好吗？好吗？你们在哪里呀,侬上海闲话讲得老好个？侬辣嗨啊里搭学个啊？
你在新吗呢为什么大啊,侬辣嗨啊里读个大学啊？
时候不早睡了，我们要干活了。,辰光勿早了，阿拉要去做生活了。
你现在干吗呢？还在干吗？,侬现在做啥个？还辣辣做老师？
29鼻炎点学习吧？难受呀,读书蛮辛苦个，学习难伐？要注意身体。
恋上床上班子工作一点都不上学习。,读书便当来兮，一眼也勿难，我学习老好个。
有什么好事要说给我们不？,有啥好事体要讲拨阿拉听伐？
她家定长，长成绩又狠二,伊胖嘟嘟个，面孔长得的粒滚圆。
请上你平饭钱门外面没有吗？,请问侬和平饭店离搿搭远伐？两只脚走得到伐？
只是刚走心里吗？,一直朝前走对伐？
请问问题吗？有恋似吗？,请问搿搭附近有厕所伐？
1里路工作业呢宝贝不能干嘛呢？,94路朝襄阳北路方向开个公交车阿里乘？
你个地址说给我道事好吗,侬个地址讲拨我听好伐？
我在乎里路上醒过份证呢，又对你也不知,我辣辣淮海路850号602室，霞飞弄侬晓得伐？就辣辣霞飞弄隔壁。
对不起误爽子宿舍里面什么样呀,对勿起，850号辣盖啥地方？
冬青往前表聊点都路车啦第第第一次,笔直往前头走，到路口朝右转弯走到第二条弄堂就是了。
请上到大伯的空间聊上怎么样呀,请问到大世界去哪能走？走过去大概要多少辰光啊？
你在上到吗呢怎么不是什么了我在一下,侬现在到啊里搭去啊？要是呒没地方去就到我屋里去。我一家头老厌气个，侬来了闹忙。
我想去找道楚呀，我好吗？他都没有了,我想去寻徐峥，我交关辰光呒没碰到伊了，去望望伊，看伊有啥要帮忙伐？
好丫头水想我们一起去了 明天们一起。,好个呀，脱我想到一道去了，明朝阿拉一道去。
明天早上俩女朋友阿 我们每次,明朝早浪向8点半钟， 阿拉辣盖学堂门口头。
请问，老婆 不结婚在车呢,请问，老卵辣盖伐？上海戏剧学院派人来寻伊。
她不在出来了去了。怎么不在看啊,伊勿辣盖，伊出去了。要老晏转来。有啥事体侬明朝来寻伊。
可能在人民警过，他10时间呀,可能辣盖人民广场，伊跑步个辰光伊勿会接手机个，更覅讲是陌生电话睐。
我家伙民看看呢，说不能子一起呢,阿拉去人民广场看看叫，讲勿定运道好还碰到伊呢？
找他做什么？他真只是骗子一下了一会了,寻伊做啥？伊真个老忙个，难板有辰光休息一歇歇，阿拉还是侪勿要去打搅伊好伐？
一句话就不许10点休息了。,一句闲话，就迭恁定好了。
还有别个事吗？要是别人了啊！,还有别个事体伐？要是呒没别个事体我就去做生活去了。阿拉明朝会。
当然不来三点用对不行 对你们想着样,当然勿来三，绝对勿可以。侬呆想想看，搿搭是公共场所，又有介许多老人小人。
我第第第们没电了，不是什么都不在电话,我手机呒没电了，我想借侬只手机打打电话来三伐？
一句话！打电视上了，不分钟打个。,一句闲话！侬打好了，勿搭界个，尽管打。
你只只在看上去又是上工作看上吧？,侬搿只手机看上去倒是蛮嗲个，好看看叫伐？要是好用我也去买一只。
今天回家子了，怎么了他们还没有回来,今朝碰到赤佬了，介晏了伊哪能还呒没回来？事先伊也呒没打过招呼。
你在新吗做个近干活？,侬辣嗨阿里只公司做生活？离搿搭远伐？
你在新吗呢怎么大学睡吗,侬辣嗨阿里读个大学啊？
时候不早睡了，我们要干活了。,辰光勿早了，阿拉要去做生活了。
你个办法成熟虑了，你们真的感谢你。,侬个办法脱灵光了，侬真个老聪明个，谢谢侬。
你们俩里，只是我刚车工作！,侬覅谢我个，我只是做好我个本职工作。侬要谢就谢谢阿拉领导。
不是个，是事我子不看电脑子。,勿是个，是我儿子个DVD。
书上高兴都是书。,书架高头侪是书。
马上的对过一下脑三点。,马路斜对过有一家便利店。
一个参加油们马上学习惯。,一家便利店垃拉马路斜对过。
你家里有点吗,侬屋里有书伐？
你要什么成熟,侬要啥个饮料？
你喜欢吃点什么？,侬欢喜吃点啥？
你可以给我一点10点10,侬可以拨我一点奶油五香豆。
还要一点呀。,还要一眼眼。
我要告诉第第第第第们们都快的。,我要告张先生、李先生谈谈。
喝点点心你好吗 吗？,吃点点心侬看好伐 ？
你钱工作用结婚吗,侬钞票或者信用卡带来伐？
我去把王老找来的。,我去拿老王寻得来。
我得车们都关完了。,我六扇窗侪关上了。
大家团俩的,大家电风扇吹吹。
地上把第第第第一群第。,地浪向拿扫帚扫一扫。
家里是工资料第一定。,架子高头灰尘揩一揩。
为束成绩去了,衣裳㫰出去了。
唱歌 给大家好好吗,唱只歌拨大家听好伐？
好个。在只面什么？,好个。唱只啥？
我只怕唱歌好吗？,我只歌唱得好勿好？
挺好的工作业的。,蛮好，勿推扳。
你说两个照片上哪儿？,侬看两张照片里阿里张好？
怎么不知道呢,哪能勿晓得呢？
我为什么一定要知道呢？,我为啥一定要晓得呢？
你不关心情受,侬勿关心咾勿晓得。
我喜欢上你个地里,我老欢喜侬个。
他干些事情样子吗,伊做个事体侬赞成个伐？
我当然意个人呀。,我当然同意个。
不答应 我刚收拾来答应。,勿答应，我从来呒没答应过。
她考试不知道你吗,伊考寄托侬晓得勿啦？
我不管清楚呀,我勿大清爽。
要我做保证，我不愿意身上。,要我做保姆，我勿情愿做。
我为急不会心他去。,我作兴勿会反对伊去。
你怎么动也不动？,侬哪能动也勿动？
